Epoch 046, Loss: 0.07366564393950821, Neurons: 11
Epoch 046, Loss: 0.07366564393950821, Neurons: 11
Epoch 046, Loss: 0.07366564393950821, Neurons: 11
Epoch 047, Loss: 0.07068596143663013, Neurons: 11
Epoch 047, Loss: 0.07068596143663013, Neurons: 11
Epoch 047, Loss: 0.07068596143663013, Neurons: 11
Epoch 048, Loss: 0.06916139278421969, Neurons: 11
Epoch 048, Loss: 0.06916139278421969, Neurons: 11
Epoch 048, Loss: 0.06916139278421969, Neurons: 11
Epoch 049, Loss: 0.06794343635004199, Neurons: 11
Epoch 049, Loss: 0.06794343635004199, Neurons: 11
Epoch 049, Loss: 0.06794343635004199, Neurons: 11
Added neuron to hidden layer 2 with activation relu
Added neuron to hidden layer 2 with activation relu
Added neuron to hidden layer 2 with activation relu
network shape updated to :[5, 6, 1]
network shape updated to :[5, 6, 1]
network shape updated to :[5, 6, 1]
Epoch 050, Loss: 0.06825494970950582, Neurons: 12
Epoch 050, Loss: 0.06825494970950582, Neurons: 12
Epoch 050, Loss: 0.06825494970950582, Neurons: 12
Epoch 051, Loss: 0.061684201043498504, Neurons: 12
Epoch 051, Loss: 0.061684201043498504, Neurons: 12
Epoch 051, Loss: 0.061684201043498504, Neurons: 12
Epoch 052, Loss: 0.060774804907071156, Neurons: 12
Epoch 052, Loss: 0.060774804907071156, Neurons: 12
Epoch 052, Loss: 0.060774804907071156, Neurons: 12
Epoch 053, Loss: 0.06095609948375216, Neurons: 12
Epoch 053, Loss: 0.06095609948375216, Neurons: 12
Epoch 053, Loss: 0.06095609948375216, Neurons: 12
Epoch 054, Loss: 0.060441581915909016, Neurons: 12
Epoch 054, Loss: 0.060441581915909016, Neurons: 12
Epoch 054, Loss: 0.060441581915909016, Neurons: 12
Epoch 055, Loss: 0.05898429400724179, Neurons: 12
Epoch 055, Loss: 0.05898429400724179, Neurons: 12
Epoch 055, Loss: 0.05898429400724179, Neurons: 12
Epoch 056, Loss: 0.05712787742392516, Neurons: 12
Epoch 056, Loss: 0.05712787742392516, Neurons: 12
Epoch 056, Loss: 0.05712787742392516, Neurons: 12
Epoch 057, Loss: 0.05556600824172073, Neurons: 12
Epoch 057, Loss: 0.05556600824172073, Neurons: 12
Epoch 057, Loss: 0.05556600824172073, Neurons: 12
Epoch 058, Loss: 0.05459030825495107, Neurons: 12
Epoch 058, Loss: 0.05459030825495107, Neurons: 12
Epoch 058, Loss: 0.05459030825495107, Neurons: 12
Epoch 059, Loss: 0.05404792850693967, Neurons: 12
Epoch 059, Loss: 0.05404792850693967, Neurons: 12
